ID value,Status,Price (£)
29908729,still active,"16,700"
29908748,still active,"6,950"
29908749,still active,"7,750"
29908753,still active,"6,950"
29908772,still active,"26,000"
29908779,still active,"20,000"
29908783,still active,"10,000"
29908791,still active,"4,000"
29908794,still active,"6,000"
29908796,inactive on: 04/09/2023,"15,000"
29908797,still active,"6,000"
29908798,still active,"4,000"
29908799,still active,"6,000"
29908801,still active,"19,000"
29908802,still active,"12,000"
29908806,still active,"13,000"
29908807,still active,"7,000"
29908808,still active,"8,000"
29908858,still active,"14,600"
29908873,inactive on: 10/09/2023,"4,995"
29908884,still active,"6,995"
29908906,still active,"10,995"
29908912,still active,"9,995"
29908956,still active,"7,995"
29908982,still active,"29,495"
29908986,still active,"20,495"
29908988,still active,"19,990"
29908991,inactive on: 13/09/2023,"26,985"
29909014,still active,"11,995"
29909020,still active,"15,990"
29909024,still active,"17,495"
29909039,still active,"30,975"
29909067,still active,"3,250"
29909102,still active,"5,995"
29909108,still active,"22,995"
29909173,still active,"10,990"
29909174,still active,"11,190"
29909186,still active,"7,290"
29909187,still active,"9,480"
29909193,inactive on: 18/09/2023,"8,995"
29909194,inactive on: 10/09/2023,"14,995"
29909235,inactive on: 10/09/2023,"14,495"
29909456,inactive on: 10/09/2023,"12,990"
29909464,still active,"20,990"
29909541,inactive on: 04/09/2023,"38,500"
29909592,still active,"2,350"
29909633,still active,"2,499"
29909671,inactive on: 10/09/2023,"8,395"
29909677,inactive on: 04/09/2023,"14,895"
29909681,still active,"12,999"
29909686,still active,"15,495"
29909693,still active,"34,490"
29909723,inactive on: 10/09/2023,"6,485"
29909745,still active,"6,000"
29909755,inactive on: 04/09/2023,"24,999"
29909760,still active,"14,490"
29909764,still active,"14,850"
29909802,still active,"7,002"
29909825,inactive on: 04/09/2023,"8,750"
29909828,still active,"6,999"
29909839,still active,"8,495"
29909872,still active,"13,995"
29909878,still active,"17,495"
29909886,still active,"14,950"
29909914,still active,"6,990"
29909919,inactive on: 04/09/2023,"14,699"
29909942,inactive on: 04/09/2023,"14,499"
29909944,still active,"17,449"
29910001,still active,"11,000"
29910002,still active,"3,995"
29910012,still active,"25,999"
29910013,still active,"18,785"
29910045,still active,"22,999"
29910050,still active,"22,494"
29910055,still active,"8,490"
29910056,still active,"8,990"
29910096,still active,"13,595"
29910098,still active,"14,595"
29910100,still active,"26,394"
29910106,still active,"8,795"
29910116,still active,"4,450"
29910132,inactive on: 10/09/2023,"9,650"
29910144,still active,"11,995"
29910148,still active,"7,495"
29910176,still active,"3,195"
29910183,still active,"17,500"
29910208,inactive on: 18/09/2023,"8,000"
29910227,still active,"19,995"
29910253,still active,"8,995"
29910255,still active,"18,495"
29910258,still active,"19,495"
29910259,still active,"35,995"
29910283,still active,"6,989"
29910315,still active,"7,999"
29910321,still active,"14,495"
29910324,still active,"14,475"
29910359,still active,"13,699"
29910396,still active,"7,370"
29910507,still active,"14,590"
29910513,inactive on: 10/09/2023,"22,690"
29910517,inactive on: 04/09/2023,"17,290"
29910656,inactive on: 04/09/2023,"23,995"
29910679,still active,"44,990"
29910835,still active,"7,495"
29910852,still active,"13,999"
29910865,still active,"16,995"
29910866,still active,"16,790"
29910867,still active,"5,495"
29910872,still active,"11,995"
29910873,still active,"8,995"
29910875,still active,"21,999"
29910878,inactive on: 04/09/2023,"17,295"
29910881,still active,"28,499"
29910978,still active,"16,750"
29911010,inactive on: 10/09/2023,"15,259"
29911025,still active,"27,360"
29911033,still active,"19,735"
29911115,still active,"5,995"
29911120,still active,"5,995"
29911131,inactive on: 18/09/2023,"5,985"
29911132,still active,"14,495"
29911133,still active,"18,995"
29911137,still active,"6,995"
29911148,still active,"3,995"
29911149,still active,"9,995"
29911168,still active,"10,490"
29911180,still active,"13,995"
29911182,still active,"21,495"
29911196,still active,"3,295"
29911198,still active,"3,995"
29911200,still active,"19,500"
29911209,still active,"11,495"
29911220,still active,"4,195"
29911232,still active,"3,995"
29911237,still active,"12,950"
29911252,still active,"22,990"
29911255,still active,"6,150"
29911262,still active,"8,799"
29911263,inactive on: 04/09/2023,"3,550"
29911267,still active,"5,450"
29911300,inactive on: 18/09/2023,"13,295"
29911343,still active,"15,303"
29911349,inactive on: 04/09/2023,"16,499"
29911397,still active,"23,990"
29911402,still active,"4,995"
29911403,still active,"11,995"
29911406,still active,"2,995"
29911407,still active,"2,195"
29911417,still active,"16,495"
29911441,still active,"9,990"
29911449,still active,"4,495"
29911462,still active,"6,495"
29911473,still active,"13,669"
29911477,still active,"6,995"
29911480,inactive on: 04/09/2023,"8,419"
29911497,still active,"19,995"
29911502,still active,"18,495"
29911512,still active,"27,975"
29911525,still active,"7,495"
29911527,still active,"11,695"
29911542,still active,"3,995"
29911553,still active,"11,495"
29911586,still active,"14,495"
29911594,still active,"7,990"
29911607,still active,"2,999"
29911610,still active,"10,995"
29911615,still active,"8,950"
29911641,still active,"15,545"
29911650,inactive on: 13/09/2023,"60,999"
29911718,inactive on: 04/09/2023,"29,495"
29911787,still active,"8,899"
29911798,still active,"2,699"
29911801,still active,"14,990"
29911807,still active,"10,499"
29911814,still active,"21,795"
29911871,inactive on: 04/09/2023,"15,999"
29911874,inactive on: 04/09/2023,"12,499"
29911880,inactive on: 04/09/2023,"17,499"
29911882,still active,"10,495"
29911888,inactive on: 04/09/2023,"13,999"
29911895,still active,"8,290"
29912124,still active,"19,495"
29912170,still active,"19,200"
29912173,still active,"5,695"
29912210,inactive on: 10/09/2023,"50,490"
29912237,still active,"26,000"
29912350,still active,"13,750"
29912354,still active,"19,100"
29912357,still active,"18,150"
29912363,still active,"11,680"
29912367,still active,"20,995"
29912381,still active,"17,995"
29912385,still active,"13,990"
29912387,still active,"7,650"
29912442,still active,"12,995"
29912448,still active,"24,500"
