advert_id,manufacturer_id,model_id,Year,Engine size (litres),Mileage (miles),fuel_type_id,transmission_type_id,Colour,body_type_id,Mpg,wheel_drive_type_id,Doors,Seats,Engine power (bhp),Top speed (mph),Acceleration (0-62 mph) (seconds),CO2 rating (g/km),Tank range (miles),price,status
29928502,5,5,2015,1.968,51000,2,3,RED,2,62.8,2,5,5,148,131,8.6,117,691,12250,inactive on: 04/09/2023
29928505,11,128,2019,1.968,62000,2,3,WHITE,6,36.2,3,5,5,187,135,7.9,149,518,35990,
29928509,8,8,2015,2.143,96000,2,3,BLUE,2,68.9,2,5,5,134,130,9.7,103,849,10990,
29928538,10,273,2016,1.364,53000,1,2,Red,2,47.1,2,3,5,138,125,9.0,142,580,7490,
29928554,15,25,2019,1.248,11500,1,2,WHITE,2,54.3,2,5,5,83,107,11.6,120,418,9970,inactive on: 10/09/2023
29928585,20,198,2014,0.875,68597,1,2,GREEN,2,57.7,3,5,4,85,103,12.1,114,444,5222,inactive on: 10/09/2023
29928606,9,50,2015,1.198,49000,1,3,GREY,2,52.3,2,5,5,79,100,14.5,125,472,7995,
29928609,10,80,2017,1.398,14000,1,3,RED,2,47.1,2,5,5,89,106,13.9,139,466,13295,
29928610,10,213,2019,1.199,3400,1,2,BLUE,2,47.1,2,5,5,82,106,13.6,106,466,14295,
29928611,15,162,2018,1.368,25000,1,3,RED,2,46.3,2,5,5,98,103,13.4,140,458,13995,
29928617,9,70,2013,1.598,49000,2,2,BEIGE,2,55.4,3,5,5,128,118,10.5,135,792,9195,
29928622,9,9,2016,1.461,11000,2,2,GREY,2,70.6,2,5,5,114,109,11.2,104,714,12295,
29928627,14,18,2018,1.318,25700,1,2,WHITE,2,55.4,2,5,5,101,118,11.5,120,487,12995,
29928635,5,5,2017,1.984,21439,1,3,SILVER,2,44.8,2,3,5,242,154,6.0,144,493,22890,
29928646,15,144,2019,0.998,40880,1,2,WHITE,2,50.4,2,5,5,118,116,10.9,115,554,12389,
